,cytoID,Hematoxylin_Mean_nuclei,Hematoxylin_Std_dev_nuclei,Hematoxylin_Min_nuclei,Hematoxylin_Max_nuclei,Hematoxylin_Median_nuclei,Eosin_Mean_nuclei,Eosin_Std_dev_nuclei,Eosin_Min_nuclei,Eosin_Max_nuclei,Hue_Mean_nuclei,Saturation_Mean_nuclei,Saturation_Std_dev_nuclei,Saturation_Min_nuclei,Saturation_Max_nuclei,Saturation_Median_nuclei,Eosin_Median_nuclei,Area_µm^2_nuclei,Length_µm_cyto,Circularity_cyto,Solidity_cyto,Max_diameter_µm_cyto,Min_diameter_µm_cyto,Perimeter_µm_cyto,Hematoxylin_Mean_cytoonly,Hematoxylin_Std_dev_cytoonly,Hematoxylin_Min_cytoonly,Hematoxylin_Max_cytoonly,Hematoxylin_Median_cytoonly,Eosin_Mean_cytoonly,Eosin_Std_dev_cytoonly,Eosin_Min_cytoonly,Eosin_Max_cytoonly,Hue_Mean_cytoonly,Saturation_Mean_cytoonly,Saturation_Std_dev_cytoonly,Saturation_Min_cytoonly,Saturation_Max_cytoonly,Saturation_Median_cytoonly,Eosin_Median_cytoonly,Area_µm^2_cytoonly
1012,437,0.1624,0.0428,0.0657,0.3437,0.1545,-0.0169,0.0196,-0.0992,0.0869,0.1958,0.1825,0.0428,0.0747,0.3252,0.1765,0.0,59.4267,43.5353,0.491,0.9315,12.0779,8.6649,43.54,0.0964,0.0509,0.0084,0.3156,0.0905,0.0121,0.0173,-0.0657,0.0975,0.2381,0.0997,0.0657,0.0,0.3165,0.0885,0.0165,14.7521
1013,638,0.7664,0.1789,0.0869,1.3741,0.7835,0.817,0.3914,-0.0205,1.5656,0.2578,0.8943,0.1167,0.1017,1.0,0.9405,0.7785,59.852,38.8806,0.6003,0.9727,10.1962,9.424,38.88,0.3067,0.2732,-0.0265,1.0614,0.2015,0.2595,0.4199,-0.1143,1.5582,0.2463,0.4118,0.3184,0.0,1.0,0.3025,0.0585,12.3632
1014,1106,0.9068,0.1495,0.1252,1.3362,0.9185,0.8367,0.3041,-0.0167,1.5519,0.248,0.931,0.0863,0.1947,1.0,0.9495,0.7985,33.4025,42.9877,0.4881,0.925,12.8219,7.4939,42.99,0.1189,0.1591,0.0172,1.2573,0.0705,0.0875,0.1579,-0.0538,1.5226,0.2912,0.2147,0.1663,0.0131,1.0,0.1775,0.0595,38.382
1015,671,0.6669,0.2276,0.0562,2.1214,0.6275,0.6346,0.3947,-0.0862,1.5643,0.2594,0.8249,0.1506,0.0745,1.0,0.8445,0.5135,52.3864,41.6186,0.5167,0.9504,12.966,7.3274,41.62,0.2207,0.1929,-0.0163,2.0963,0.2015,0.0254,0.1274,-0.1,1.4976,0.2216,0.2591,0.1778,0.0,1.0,0.2725,0.0055,18.8362
1016,950,0.5886,0.2025,0.1383,1.1389,0.6005,0.6126,0.4403,-0.0373,1.6105,0.2634,0.7799,0.1924,0.2345,1.0,0.8235,0.4805,41.216,38.6068,0.5995,0.9742,10.0344,9.3062,38.61,0.2231,0.0605,0.0108,0.8288,0.2205,0.0193,0.0505,-0.0339,1.5298,0.2225,0.2798,0.074,0.0289,1.0,0.2785,0.0135,29.8919
1017,260,0.3338,0.1033,0.0606,0.712,0.3265,0.2941,0.1001,0.0738,0.8146,0.2826,0.6198,0.1143,0.2263,0.9343,0.6205,0.2755,51.9065,43.8091,0.4614,0.8872,12.3002,8.1858,43.81,0.1816,0.112,0.0236,0.6279,0.1655,0.1656,0.0937,0.0217,0.6629,0.2951,0.3921,0.171,0.0298,0.8993,0.3785,0.1445,18.5728
1018,227,0.5444,0.1784,0.104,0.9776,0.5795,0.5691,0.3804,0.0407,1.6467,0.2704,0.7758,0.169,0.1991,1.0,0.8185,0.4835,33.6787,38.6068,0.5915,0.9683,10.1711,8.7552,38.61,0.1622,0.0825,0.0235,0.8338,0.1475,0.0759,0.1161,-0.0236,1.5799,0.2625,0.252,0.1163,0.0123,1.0,0.2335,0.0555,36.4754
1019,701,0.7579,0.1673,0.2286,1.1632,0.7885,0.7388,0.4067,-0.0444,1.5071,0.2527,0.8722,0.1396,0.2968,1.0,0.9265,0.6875,49.6752,38.6068,0.5883,0.9681,10.5127,9.0357,38.61,0.2715,0.14,0.03,1.0492,0.2765,0.0312,0.1163,-0.0605,1.4997,0.227,0.3229,0.125,0.0336,1.0,0.3255,0.0,20.1032
1020,808,0.4408,0.1055,0.1382,0.8341,0.4275,0.3919,0.1702,0.1246,1.5886,0.2758,0.7233,0.0962,0.3119,1.0,0.7195,0.3585,40.4407,40.7972,0.5234,0.9119,11.2894,9.2647,40.8,0.2429,0.1163,0.0354,0.7638,0.2375,0.2181,0.1224,0.0222,1.5879,0.2874,0.5011,0.1486,0.0928,1.0,0.5125,0.2055,28.888
1021,758,0.163,0.0383,0.0298,0.3371,0.1625,0.0513,0.0123,-0.0062,0.1073,0.2531,0.2304,0.0371,0.0449,0.3602,0.2315,0.0495,56.357,38.6068,0.5833,0.9693,10.2662,8.7452,38.61,0.0633,0.0447,-0.0044,0.214,0.0505,0.032,0.0206,-0.0103,0.1082,0.2943,0.0813,0.0619,0.0,0.2844,0.0695,0.0275,12.8215
